Index,十年十佳,排名,豆瓣电影,豆瓣年份,豆瓣打分,导演,主演,类型,制片国家/地区
0,2010s年代,1,[双峰 第三季 Twin Peaks Season 3](https://movie.douban.com/subject/26088510/),2017,8.9, 大卫·林奇, 凯尔·麦克拉克伦 / 雪莉·李 / 金米·罗伯特森, 剧情 / 犯罪 / 悬疑, 美国
1,2010s年代,2,[神圣车行 Holy Motors](https://movie.douban.com/subject/6875451/),2012,8.0, 莱奥·卡拉克斯, 德尼·拉旺 / 爱迪丝·斯考博 / 凯莉·米洛, 剧情 / 奇幻, 法国/德国/比利时
2,2010s年代,3,[小宽宽 P'tit Quinquin](https://movie.douban.com/subject/25166744/),2014,7.6, 布鲁诺·杜蒙, Alane Delhaye / Lucy Caron / Bernard Pruvost, 剧情 / 犯罪 / 悬疑, 法国
3,2010s年代,4,[能召回前世的布米叔叔 ลุงบุญมีระลึกชาติ](https://movie.douban.com/subject/4280102/),2010,7.4, 阿彼察邦·韦拉斯哈古, 萨那帕卡·塞塞玛 / 金吉拉·潘帕斯 / 萨卡达·卡温巴迪, 剧情 / 奇幻, 泰国/英国/法国/德国/西班牙/荷兰
4,2010s年代,5,[影像之书 Le livre d'image](https://movie.douban.com/subject/26830774/),2018,7.8, 让-吕克·戈达尔, 让-吕克·戈达尔, 剧情 / 纪录片, 瑞士/法国
5,2010s年代,6,[托尼·厄德曼 Toni Erdmann](https://movie.douban.com/subject/24872189/),2016,7.6, 玛伦·阿德, 彼得·西蒙尼舍克 / 桑德拉·惠勒 / 米夏埃尔·维滕博恩, 剧情 / 喜剧, 德国/奥地利
6,2010s年代,7,[我的母亲 Mia madre](https://movie.douban.com/subject/24868251/),2015,7.2, 南尼·莫莱蒂, 玛格丽塔·布伊 / 南尼·莫莱蒂 / 约翰·特托罗, 剧情, 意大利/法国
7,2010s年代,8,[忧郁症 Melancholia](https://movie.douban.com/subject/4086853/),2011,7.1, 拉斯·冯·提尔, 克斯汀·邓斯特 / 夏洛特·甘斯布 / 基弗·萨瑟兰, 剧情 / 科幻 / 惊悚, 丹麦/瑞典/法国/德国
8,2010s年代,9,[皮囊之下 Under the Skin](https://movie.douban.com/subject/3749974/),2013,6.3, 乔纳森·格雷泽, 斯嘉丽·约翰逊 / 杰里米·麦克威廉姆斯 / 琳西·泰勒·麦凯, 科幻 / 恐怖, 英国/美国/瑞士
9,2010s年代,10,[安吉里卡奇遇 O Estranho Caso de Angélica](https://movie.douban.com/subject/3287715/),2010,7.5, 曼努埃尔·德·奥利维拉, 皮拉尔·洛佩斯·德·阿亚拉 / 里诺尔·森微娜 / Isabel Ruth, 剧情, 葡萄牙/西班牙/法国/巴西
10,2000s年代,1,[穆赫兰道 Mulholland Dr.](https://movie.douban.com/subject/1292217/),2001,8.4, 大卫·林奇, 娜奥米·沃茨 / 劳拉·哈灵 / 安·米勒, 剧情 / 悬疑 / 惊悚, 法国/美国
11,2000s年代,2,[大象 Elephant](https://movie.douban.com/subject/1292272/),2003,7.9,格斯·范·桑特,阿里克斯·弗罗斯特 / 约翰·罗宾森 / 埃里克·德伦 / 伊里斯·麦康利,剧情 / 犯罪,美国
12,2000s年代,3,[热带疾病 สัตว์ประหลาด](https://movie.douban.com/subject/1414808/),2004,8.0, 阿彼察邦·韦拉斯哈古, 班罗普·洛罗伊 / 萨卡达·卡温巴迪 / Huai Dessom, 剧情 / 爱情 / 奇幻, 泰国/法国/德国/意大利
13,2000s年代,4,[汉江怪物 괴물](https://movie.douban.com/subject/1763134/),2006,7.6, 奉俊昊, 宋康昊 / 边希峰 / 朴海日, 剧情 / 动作 / 科幻 / 恐怖, 韩国
14,2000s年代,5,[暴力史 A History of Violence](https://movie.douban.com/subject/1422917/),2005,7.5, 大卫·柯南伯格, 维果·莫腾森 / 玛丽亚·贝罗 / 艾德·哈里斯, 动作 / 犯罪 / 剧情 / 惊悚, 加拿大/美国
15,2000s年代,6,[谷子和鲻鱼 La graine et le mulet](https://movie.douban.com/subject/2156069/),2007,8.2,阿布戴·柯西胥,哈比·布法莱斯 / 阿弗西娅·埃尔奇 / Farida Benkhetache / Abdelhamid Aktouche / 艾丽斯·乌里 / Bouraouïa Marzouk / Cyril Favre / Leila D'Issernio / Abelkader Djeloulli / 布鲁诺·洛歇 / 奥利维尔·卢斯托 / Sami Zitouni / 萨巴纳·奥扎尼 / Mohamed Benabdeslem / Hatika Karaoui / 贝纳伊萨·阿胡瓦里 / 卡罗尔·法兰克 / 吉勒斯·马特龙,剧情,法国
16,2000s年代,7,[铁西区第一部分：工厂](https://movie.douban.com/subject/1309215/),2003,8.6, 王兵, , 纪录片, 中国大陆
17,2000s年代,7,[铁西区第二部分：艳粉街](https://movie.douban.com/subject/1309221/),2003,8.8,王兵, ,纪录片,中国大陆
18,2000s年代,7,[铁西区第三部分：铁路](https://movie.douban.com/subject/1309219/),2003,8.8,王兵, ,纪录片,中国大陆
19,2000s年代,8,[世界之战 War of the Worlds](https://movie.douban.com/subject/1309044/),2005,6.7,史蒂文·斯皮尔伯格,汤姆·克鲁斯 / 达科塔·范宁 / 米兰达·奥图 / 贾斯汀·查特文 / 蒂姆·罗宾斯 / 瑞克·冈萨雷斯 / 尤尔·瓦斯克斯 / 莱尼·维尼托 / 丽萨·安·沃尔特 / 安·鲁滨逊 / 吉恩·巴瑞 / 大卫·阿伦·伯施理 / 罗兹·亚布拉姆斯 / 迈克尔·布朗李 / 卡米莉亚·莫内特 / 艾米·莱安 / 丹尼·霍奇,科幻 / 惊悚 / 冒险,美国
20,2000s年代,9,[新世界 The New World](https://movie.douban.com/subject/1419942/),2005,7.1, 泰伦斯·马力克, 科林·法瑞尔 / 考莉安卡·基尔彻 / 克里斯蒂安·贝尔, 剧情 / 爱情 / 传记 / 历史, 美国/英国
21,2000s年代,10,[十段生命的律动 ده](https://movie.douban.com/subject/1300911/),2002,7.6, 阿巴斯·基亚罗斯塔米, 玛尼亚·艾巴利 / Amin Maher / Kamran Adl, 剧情, 伊朗/法国
22,1990s年代,1A,[情枭的黎明 Carlito's Way](https://movie.douban.com/subject/1292646/),1993,8.7, 布莱恩·德·帕尔玛, 阿尔·帕西诺 / 西恩·潘 / 佩内洛普·安·米勒, 犯罪 / 剧情 / 惊悚, 美国
23,1990s年代,1B,[南国再见，南国 南國再見，南國](https://movie.douban.com/subject/1303458/),1996,8.1, 侯孝贤, 高捷 / 林强 / 伊能静, 犯罪 / 剧情, 中国台湾
24,1990s年代,1C,[廊桥遗梦 The Bridges of Madison County](https://movie.douban.com/subject/1293929/),1995,8.7, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 梅丽尔·斯特里普 / 安妮·科利, 剧情 / 爱情, 美国
25,1990s年代,4A,[大开眼戒 Eyes Wide Shut](https://movie.douban.com/subject/1300275/),1999,8.1, 斯坦利·库布里克, 汤姆·克鲁斯 / 妮可·基德曼 / 麦迪逊·埃金顿, 剧情 / 悬疑 / 惊悚 / 情色, 英国/美国
26,1990s年代,4B,[双峰：与火同行 Twin Peaks: Fire Walk with Me](https://movie.douban.com/subject/1303472/),1992,7.9,大卫·林奇,雪莉·李 / 雷·怀斯 / 梅晨·阿米克 / 达纳·艾希布鲁克 / Phoebe Augustine / 大卫·鲍伊 / 埃里克·达雷 / 米盖尔·弗尔 / 帕米拉·吉德利 / 海瑟·格拉汉姆 / 克里斯·艾塞克 / 莫伊拉·凯利 / 佩吉·利普顿 / 大卫·林奇 / James Marshall / 尤尔根·普洛斯诺 / 哈利·戴恩·斯坦通 / 基弗·萨瑟兰 / 林尼·冯·多伦 / 格蕾丝·扎布里斯基 / 凯尔·麦克拉克伦 / 弗兰西斯·贝 / 凯瑟琳·E·考森 / 迈克尔·J·安德森 / 弗兰克·席尔瓦 / 阿尔·斯特罗贝尔 / 加里·赫什伯格 / 里克·埃罗 / Jon Huck / 卡尔文·洛克哈特 / 大卫·布里斯宾 / Julee Cruise / 詹姆士·帕克斯 / Jane Jones / 陈冲 / 唐·戴维斯 / 沃伦·福斯特 / Harry Goaz / 迈克尔·霍斯 / 大卫·帕特里克·凯利 / 埃沃雷特·麦克吉尔 / 杰克·南斯 / 迈克尔·昂吉恩 / 金米·罗伯特森 / 温迪·罗比 / 夏洛特·斯图尔特 / 拉斯·坦布林 / Philip Anagnos / Anne Gaybis / John Nelson,剧情 / 悬疑 / 惊悚 / 恐怖,法国 / 美国
27,1990s年代,4C,[特写 کلوزآپ](https://movie.douban.com/subject/1303521/),1990,8.8, 阿巴斯·基亚罗斯塔米, Hossain Sabzian / 莫森·玛克玛尔巴夫 / Abolfazl Ahankhah, 犯罪 / 剧情, 伊朗
28,1990s年代,4D,[不可饶恕 Unforgiven](https://movie.douban.com/subject/1293566/),1992,8.5, 克林特·伊斯特伍德, 克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼, 剧情 / 西部, 美国
29,1990s年代,8A,[欲望号快车 Crash](https://movie.douban.com/subject/1292682/),1996,7.0, 大卫·柯南伯格, 詹姆斯·斯派德 / 霍利·亨特 / 伊莱亚斯·科泰斯, 剧情, 加拿大/美国/英国
30,1990s年代,8B,[剪刀手爱德华 Edward Scissorhands](https://movie.douban.com/subject/1292370/),1990,8.7, 蒂姆·波顿, 约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特, 剧情 / 奇幻 / 爱情, 美国
31,1990s年代,8C,[河流](https://movie.douban.com/subject/1303456/),1997,7.7, 蔡明亮, 李康生 / 苗天 / 陆弈静, 剧情 / 爱情 / 同性, 中国台湾
